,OFTIC,CNAME_actual,PENDS,PDICITY,AMASKCD,MEAN,STDEV,BPS,CPS,CPX,DPS,EBI,EBT,EPS,GPS,GRM,NAV,NDT,NET,PRE,ROE,SAL
9911,ROP,ROPER TECH,2016-12-31,QTR,56596,188.0909090909091,18.14637454399388,56.94,2.64,10.372,0.3,302.304,365.3,1.86,1.78,62.28,5788.865,5452.336,190.799,271.466,13.27,1018.0
9912,ROP,ROPER TECH,2017-03-31,QTR,129088,278.5,15.936170759048071,58.79925,2.192,10.615,0.35,350.256,362.0,2.11,1.53,62.2,5994.675499999999,5215.696,218.521,303.344,13.1844,1108.0
9913,ROP,ROPER TECH,2017-06-30,QTR,56596,219.53333333333333,17.22484363050179,60.6585,1.7440000000000002,10.858,0.35,387.258,394.0,2.24,1.74,62.7,6200.486,4979.056,231.056,339.414,13.0988,1151.0
9914,ROP,ROPER TECH,2017-09-30,QTR,105727,234.8181818181818,11.034656150675309,63.1873,1.2960000000000005,11.101,0.35,395.079,407.0,2.36,1.84,63.0,6458.984,4728.639,245.089,350.565,13.0132,1171.0
9915,ROP,ROPER TECH,2017-12-31,QTR,105727,256.5,18.4225103850938,67.0517,0.8480000000000003,12.854,0.35,426.983,441.0,2.7,4.27,62.6,6863.564,4484.228,280.422,385.334,12.9276,1235.0
9916,ROP,ROPER TECH,2018-03-31,QTR,53685,316.625,19.197749124013768,69.8145,0.4000000000000003,9.7,0.412,376.2,464.1,2.61,2.03,62.49,7155.5,4255.8,272.13,332.3,12.842,1205.0
9917,ROP,ROPER TECH,2018-06-30,QTR,56596,310.2,16.18729660655452,70.7917,-0.0479999999999996,16.0,0.41,433.3,449.0,2.89,2.19,63.1,7302.9,5201.6,301.84,392.0,12.7564,1296.0
9918,ROP,ROPER TECH,2018-09-30,QTR,92207,304.0,11.597413504743203,73.1034,-0.4959999999999995,11.1,0.41,461.5,473.0,3.09,2.37,63.74,7554.9,4852.5,323.214,411.0,12.6708,1321.0
9919,ROP,ROPER TECH,2018-12-31,QTR,56596,315.3,14.484090889278791,74.8181,-0.944,14.9,0.413,481.4,496.0,3.22,2.46,63.5,7738.5,4577.3,336.49,435.0,12.5852,1378.0
9920,ROP,ROPER TECH,2019-03-31,QTR,115952,375.54545454545456,41.96037091438453,78.6983,-1.3919999999999997,15.8,0.463,308.4,438.0,3.3,3.53,63.0,8137.4,4096.2,345.51,382.0,12.4996,1288.0
9921,ROP,ROPER TECH,2019-06-30,QTR,129088,316.46666666666664,27.526264514009863,80.421,-1.839999999999999,12.1,0.463,458.0,471.0,3.07,2.38,64.0,8351.0,4400.2,322.657,414.2,12.414,1332.0
9922,ROP,ROPER TECH,2019-09-30,QTR,92207,364.5833333333333,31.721682671560025,82.4149,-2.288,14.3,0.463,462.2,498.0,3.29,2.64,64.58,8571.3,5875.0,346.0,414.9,12.3284,1358.0
9923,ROP,ROPER TECH,2019-12-31,QTR,105727,388.6,37.42955287699051,91.2174,-2.736,10.5,0.513,506.4,518.0,3.39,8.28,64.0,9491.9,4565.6,356.0,2057.1,12.2428,1400.0
9924,ROP,ROPER TECH,2020-03-31,QTR,84139,432.7272727272728,56.17488924615857,91.8757,-3.1839999999999997,7.9,0.51,478.0,467.0,3.05,2.28,63.32,9591.3,4276.8,321.38,1228.6,12.1572,1353.0
